"","backdoor","frontdoor","iv","backdoor_true_functional","frontdoor_true_functional","iv_true_functional","b1","b2","f1","f2","f3","i1","i2","i3","i4","hypothesis","beta","sample_size","size","power"
"1","TRUE","TRUE","TRUE","0","0","0","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","N","0","1000","0",NA
"2","TRUE","FALSE","TRUE","0","1","0","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","N","0","1000","0",NA
"3","TRUE","TRUE","FALSE","0","0","0","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","N","0","1000","0",NA
"4","FALSE","TRUE","TRUE","1","0","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","N","0","1000","0",NA
"5","FALSE","TRUE","FALSE","1","0","1","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","N","0","1000","0.012",NA
"6","FALSE","FALSE","TRUE","1","1","0","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","N","0","1000","0.018",NA
"7","TRUE","FALSE","FALSE","0","1","0","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","N","0","1000","0",NA
"8","FALSE","TRUE","FALSE","1","1","1","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","A","10","1000",NA,"1"
"9","FALSE","TRUE","FALSE","1","1","1","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","A","10","1000",NA,"1"
"10","FALSE","FALSE","TRUE","1","1","1","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","A","10","1000",NA,"1"
"11","TRUE","FALSE","FALSE","1","1","1","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","A","10","1000",NA,"1"
"12","TRUE","FALSE","FALSE","1","1","1","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","A","10","1000",NA,"0.998"
"13","TRUE","FALSE","TRUE","1","1","1","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","A","10","1000",NA,"1"
"14","TRUE","TRUE","FALSE","1","1","1","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","A","10","1000",NA,"0.999"
"15","FALSE","TRUE","TRUE","1","1","1","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","A","10","1000",NA,"1"
"16","TRUE","TRUE","TRUE","1","1","1","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","A","10","1000",NA,"1"
"17","TRUE","FALSE","TRUE","1","0","1","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","A","10","1000",NA,"0.069"
"18","TRUE","TRUE","FALSE","1","1","1","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","A","10","1000",NA,"0"
"19","FALSE","FALSE","TRUE","1","0","1","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","A","10","1000",NA,"0.338"
"20","FALSE","FALSE","TRUE","1","0","1","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","A","10","1000",NA,"0.019"
