"","X","backdoor","frontdoor","iv","backdoor_true_functional","frontdoor_true_functional","iv_true_functional","b1","b2","f1","f2","f3","i1","i2","i3","i4","hypothesis","beta","sample_size","size","power"
"1",7,FALSE,FALSE,TRUE,0,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA
"2",7,FALSE,FALSE,TRUE,0,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA
"3",7,FALSE,FALSE,TRUE,0,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA
"4",7,FALSE,FALSE,TRUE,0,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA
"5",12,FALSE,FALSE,TRUE,1,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,0.516
"6",12,FALSE,FALSE,TRUE,1,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,0.969
"7",12,FALSE,FALSE,TRUE,1,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,0.999
"8",12,FALSE,FALSE,TRUE,1,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,1
"9",5,FALSE,TRUE,FALSE,1,0,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"N",0,250,0.041,NA
"10",5,FALSE,TRUE,FALSE,1,0,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"N",0,500,0.065,NA
"11",5,FALSE,TRUE,FALSE,1,0,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"N",0,750,0.036,NA
"12",5,FALSE,TRUE,FALSE,1,0,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"N",0,1000,0.045,NA
"13",11,FALSE,TRUE,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"A",10,250,NA,0.945
"14",11,FALSE,TRUE,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"A",10,500,NA,1
"15",11,FALSE,TRUE,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"A",10,750,NA,1
"16",11,FALSE,TRUE,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"A",10,1000,NA,1
"17",6,FALSE,TRUE,FALSE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,250,0,NA
"18",6,FALSE,TRUE,FALSE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,500,0,NA
"19",6,FALSE,TRUE,FALSE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,750,0,NA
"20",6,FALSE,TRUE,FALSE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,1000,0,NA
"21",23,FALSE,TRUE,FALSE,1,1,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",5,250,NA,0.05
"22",23,FALSE,TRUE,FALSE,1,1,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",5,500,NA,0.087
"23",23,FALSE,TRUE,FALSE,1,1,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",5,750,NA,0.095
"24",23,FALSE,TRUE,FALSE,1,1,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",5,1000,NA,0.09
"25",4,FALSE,TRUE,TRUE,1,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA
"26",27,FALSE,TRUE,TRUE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA
"27",4,FALSE,TRUE,TRUE,1,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA
"28",27,FALSE,TRUE,TRUE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA
"29",4,FALSE,TRUE,TRUE,1,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA
"30",27,FALSE,TRUE,TRUE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA
"31",4,FALSE,TRUE,TRUE,1,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA
"32",27,FALSE,TRUE,TRUE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA
"33",19,FALSE,TRUE,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",2,250,NA,0
"34",19,FALSE,TRUE,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",2,500,NA,0
"35",19,FALSE,TRUE,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",2,750,NA,0.002
"36",19,FALSE,TRUE,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",2,1000,NA,0.003
"37",16,FALSE,TRUE,TRUE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,0.974
"38",16,FALSE,TRUE,TRUE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,0.995
"39",16,FALSE,TRUE,TRUE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,1
"40",16,FALSE,TRUE,TRUE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,1
"41",21,FALSE,FALSE,TRUE,1,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,250,NA,0.02
"42",21,FALSE,FALSE,TRUE,1,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,500,NA,0.076
"43",21,FALSE,FALSE,TRUE,1,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,750,NA,0.11
"44",21,FALSE,FALSE,TRUE,1,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"A",10,1000,NA,0.179
"45",8,FALSE,FALSE,TRUE,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0.019,NA
"46",8,FALSE,FALSE,TRUE,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0.028,NA
"47",8,FALSE,FALSE,TRUE,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0.036,NA
"48",8,FALSE,FALSE,TRUE,1,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0.039,NA
"49",22,TRUE,FALSE,FALSE,1,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",10,250,NA,0.018
"50",22,TRUE,FALSE,FALSE,1,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",10,500,NA,0.02
"51",22,TRUE,FALSE,FALSE,1,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",10,750,NA,0.022
"52",22,TRUE,FALSE,FALSE,1,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"A",10,1000,NA,0.028
"53",26,TRUE,FALSE,TRUE,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA
"54",26,TRUE,FALSE,TRUE,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA
"55",26,TRUE,FALSE,TRUE,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA
"56",26,TRUE,FALSE,TRUE,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA
